#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|AGO|34.14647|-118.76699|259.0|Agoura|1995-10-24T00:00:00|3000-01-01T00:00:00
CI|ALP|34.68708|-118.29946|753.0|Antelope|1999-10-05T00:00:00|3000-01-01T00:00:00
CI|ARV|35.1269|-118.83009|258.0|Arvin|1983-09-15T00:00:00|3000-01-01T00:00:00
CI|ASP|35.86114|-119.38511|64.0|Allensworth State Park|2016-10-25T00:00:00|3000-01-01T00:00:00
CI|AVC|33.333118|-118.335424|0.0|Avalon Canyon|2015-09-17T12:00:00|3000-01-01T00:00:00
CI|AVM|35.06562|-116.61549|708.5|Alvord Mountain|2015-05-12T16:50:00|3000-01-01T00:00:00
CI|BAC|33.6122|-117.0406|551.0|Bachelor Mountain|1993-12-14T00:00:00|3000-01-01T00:00:00
CI|BAI|34.77695|-118.77335|1035.0|Bailey|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|BAK|35.34444|-119.10445|116.0|Calstate Bakersfield|1999-06-21T00:00:00|3000-01-01T00:00:00
CI|BAR|32.68005|-116.67215|529.0|Barrett|1932-09-04T00:00:00|3000-01-01T00:00:00
CI|BBR|34.2623|-116.92075|2069.0|Big Bear Solar Observatory|2000-06-14T22:00:00|3000-01-01T00:00:00
CI|BBS|33.92139|-116.98058|785.0|Beaumont Base|2000-09-13T00:00:00|3000-01-01T00:00:00
CI|BC3|33.65515|-115.45366|1137.0|Big Chuckawalla Mtns|1991-05-08T00:00:00|3000-01-01T00:00:00
CI|BCH|35.185337|-120.085057|1109.0|Branch Mtn|2021-11-17T00:00:00|3000-01-01T00:00:00
CI|BCW|34.94009|-119.41313|1101.0|Bitter Creek Wildlife|2008-04-08T19:00:00|3000-01-01T00:00:00
CI|BEL|34.0006|-115.9982|1388.0|Belle Mountain Joshua Tree|2001-03-15T00:00:00|3000-01-01T00:00:00
CI|BFS|34.23883|-117.65853|1312.0|Mt. Baldy Ranger Station|2001-07-10T00:00:00|3000-01-01T00:00:00
CI|BHP|33.99053|-118.36171|81.0|Baldwin Hills|2009-05-20T19:45:00|3000-01-01T00:00:00
CI|BLA2|34.06931|-116.38993|1247.0|Black Rock Canyon Campground 2|2009-08-05T18:11:00|3000-01-01T00:00:00
CI|BLC|34.24356|-118.67312|607.0|Black Canyon|1994-02-01T00:00:00|3000-01-01T00:00:00
CI|BLY|33.7503|-114.52375|201.0|Blythe|2004-11-08T19:18:00|3000-01-01T00:00:00
CI|BOM|33.36465|-115.72963|-54.0|Bombay Beach|2009-02-10T19:10:00|3000-01-01T00:00:00
CI|BOR|33.2682|-116.41716|252.0|Borrego Springs|2000-06-14T00:00:00|3000-01-01T00:00:00
CI|BRE|33.80776|-117.98116|24.0|Barre|2000-02-25T00:00:00|3000-01-01T00:00:00
CI|BTP|34.68224|-118.57398|1702.0|Burnt Peak|1997-12-03T00:00:00|3000-01-01T00:00:00
CI|BUE|34.612987|-120.196793|110.0|Buellton - FS #31|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|CAC|34.13678|-118.12199|230.0|Caltech Athenaeum Cellar|2003-03-07T00:00:00|3000-01-01T00:00:00
CI|CAR|35.30819|-119.84583|765.0|Carrizo Plain|2006-04-07T00:00:00|3000-01-01T00:00:00
CI|CCA|35.15252|-118.01649|710.0|California City Airport|2002-04-04T00:00:00|3000-01-01T00:00:00
CI|CCC|35.52495|-117.36453|670.0|Christmas Canyon China Lake|2001-06-22T00:00:00|3000-01-01T00:00:00
CI|CDD|32.58395|-114.35617|213.6|Camino Del Diablo|2016-09-19T00:00:00|3000-01-01T00:00:00
CI|CDM|34.36855|-119.341437|166.8|Casitas Dam|2019-06-17T00:00:00|3000-01-01T00:00:00
CI|CFD|34.399268|-119.515762|8.0|Carpinteria FD|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|CFT|34.03547|-117.11241|682.0|Crafton Hills|1975-01-06T00:00:00|3000-01-01T00:00:00
CI|CGO|36.5504|-117.80295|2795.0|Cerro Gordo|2001-12-11T00:00:00|3000-01-01T00:00:00
CI|CHF|34.33341|-118.02585|1594.0|Chilao Flat Rngr Sta|1998-11-03T00:00:00|3000-01-01T00:00:00
CI|CHI|34.18156|-119.22244|3.0|Channel Island|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|CHK|34.067135|-118.971181|258.0|Camp Hess Kramer|2017-07-10T00:00:00|3000-01-01T00:00:00
CI|CHL|33.910841|-117.683682|331.9|Chino Hills State Park|2021-04-16T00:00:00|3000-01-01T00:00:00
CI|CHN|33.99879|-117.68044|208.0|Chino|1999-10-12T00:00:00|3000-01-01T00:00:00
CI|CHR|34.729019|-119.392693|1021.8|Ventucopa|2017-06-21T00:00:00|3000-01-01T00:00:00
CI|CIA|33.401898|-118.415021|477.0|Catalina Island Airport|1998-09-10T00:00:00|3000-01-01T00:00:00
CI|CJM|34.27117|-117.42448|1616.0|Cajon Mountain|2011-11-17T00:00:00|3000-01-01T00:00:00
CI|CJV2|34.52978|-118.1445|1296.0|Casa Juvan 2|2013-11-14T00:00:00|3000-01-01T00:00:00
CI|CKP|33.55507|-114.8904|145.0|Chuckwalla Valley State Prison|2016-11-16T00:00:00|3000-01-01T00:00:00
CI|CLC|35.81574|-117.59751|775.0|China Lake|1948-07-08T00:00:00|3000-01-01T00:00:00
CI|CLI2|33.12112|-115.58016|-60.2|Calipatria 2|2015-09-24T00:00:00|3000-01-01T00:00:00
CI|CLO|34.22038|-119.00891|48.0|Camarillo|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|CLT|34.09284|-117.31687|325.0|Calectric|1999-10-28T00:00:00|3000-01-01T00:00:00
CI|COA|32.86341|-115.12339|36.0|Coachella|1973-03-31T00:00:00|3000-01-01T00:00:00
