time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2022-05-02T05:24:16.630Z, 33.74350, -116.02333,   4.69, KILOMETER,  2.35, Ml
2022-05-01T13:16:37.520Z, 33.97117, -116.81633,  17.69, KILOMETER,  2.31, Ml
2022-04-30T13:22:14.570Z, 33.22400, -116.09183,  10.41, KILOMETER,  2.19, Ml
2022-04-30T00:49:18.950Z, 33.15483, -119.02517,   5.84, KILOMETER,  2.72, Ml
2022-04-29T14:11:49.610Z, 36.08117, -117.44167,  -0.12, KILOMETER,  2.18, Ml
2022-04-28T13:42:16.960Z, 36.03233, -117.81383,   1.90, KILOMETER,   2.2, Ml
2022-04-28T10:22:36.130Z, 34.13967, -116.95650,   8.61, KILOMETER,  2.46, Ml
2022-04-27T08:25:26.960Z, 32.65183, -115.89583,   9.77, KILOMETER,  2.18, Ml
2022-04-26T23:54:06.990Z, 33.14767, -116.07683,  10.31, KILOMETER,  2.02, Ml
2022-04-26T17:04:29.090Z, 33.85100, -117.65400,  10.25, KILOMETER,  2.36, Ml
2022-04-26T13:06:10.530Z, 35.75633, -118.01433,   2.22, KILOMETER,  2.06, Ml
2022-04-26T07:00:56.090Z, 32.88983, -115.52617,   5.48, KILOMETER,  2.55, Ml
2022-04-25T15:52:00.280Z, 33.68183, -116.80800,  13.88, KILOMETER,   2.0, Ml
2022-04-25T04:18:20.880Z, 33.32900, -116.23667,  11.85, KILOMETER,  2.38, Ml
2022-04-24T18:09:40.820Z, 33.05783, -117.95483,   5.94, KILOMETER,  2.27, Ml
2022-04-24T16:42:37.980Z, 35.64217, -117.45417,   6.71, KILOMETER,  2.72, Ml
2022-04-23T20:07:50.460Z, 35.84050, -117.67600,   6.27, KILOMETER,  2.45, Ml
2022-04-23T18:41:42.860Z, 33.66250, -116.77150,  10.15, KILOMETER,  2.09, Ml
2022-04-23T14:41:39.850Z, 35.96983, -117.38900,   0.64, KILOMETER,  2.07, Ml
2022-04-23T03:30:25.290Z, 35.59400, -117.38233,   6.47, KILOMETER,  2.34, Ml
2022-04-22T22:19:28.140Z, 35.70400, -117.51250,   8.38, KILOMETER,   2.1, Ml
2022-04-22T14:10:12.210Z, 32.92867, -115.51817,   5.72, KILOMETER,   2.1, Ml
2022-04-22T11:39:23.660Z, 33.46800, -116.50317,  12.95, KILOMETER,  2.12, Ml
2022-04-22T06:01:13.270Z, 33.64900, -116.74000,  12.82, KILOMETER,  2.01, Ml
2022-04-22T03:50:34.270Z, 32.91883, -115.51433,   4.96, KILOMETER,  2.01, Ml
2022-04-21T23:16:22.010Z, 32.28050, -115.33700,   2.83, KILOMETER,  2.56, Ml
2022-04-21T22:18:06.360Z, 35.67117, -117.47067,   8.35, KILOMETER,  2.52, Ml
2022-04-21T18:58:50.260Z, 32.89483, -115.51350,   9.45, KILOMETER,  3.62, Mw
2022-04-21T16:37:19.810Z, 32.89650, -115.51317,   5.82, KILOMETER,  2.46, Ml
2022-04-21T14:31:24.800Z, 33.55350, -118.34083,   8.70, KILOMETER,  2.13, Ml
2022-04-21T07:11:43.800Z, 32.90100, -115.52267,   5.41, KILOMETER,  2.54, Ml
2022-04-21T06:30:31.100Z, 32.90433, -115.52250,   3.92, KILOMETER,  2.04, Ml
2022-04-21T05:52:05.110Z, 32.69217, -115.53817,   5.75, KILOMETER,  2.28, Ml
2022-04-21T04:08:52.390Z, 32.91467, -115.51567,   5.34, KILOMETER,  2.01, Ml
2022-04-20T23:55:24.080Z, 32.91917, -115.51850,   3.68, KILOMETER,  2.27, Ml
2022-04-20T23:54:00.190Z, 32.91917, -115.52200,   3.46, KILOMETER,  2.48, Ml
2022-04-20T23:52:47.560Z, 32.91917, -115.51500,   7.92, KILOMETER,  3.25, Ml
2022-04-20T16:54:32.710Z, 32.41283, -115.27617,   5.72, KILOMETER,   2.5, Ml
